DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,PERCENT_PLANT_IN_PLOT,CANOPY_DIA_1_CM,CANOPY_DIA_2_CM,PLANT_HT_CM,HT_TO_TALLEST_BUDSCAR_CM,MICROPLOT_ID,NUMBER_STEMS_IN_MICROPLOT,GENUS,COMMENTS
2015-07-15T00:00:00Z,WC,35,WC35,NONE,NA,NA,NA,NA,NA,NA,NA,NA,"There were other shrub species present in this plot, but it appears they didn't measure them for Macro (E. Ertl 2018)"
2015-07-15T00:00:00Z,WC,37,WC37,SABE,100,80,55,120,80,MACRO,0,willow,NA
2015-07-15T00:00:00Z,WC,37,WC37,SAMO,100,80,80,130,90,MACRO,0,willow,NA
2015-07-15T00:00:00Z,WC,37,WC37,SAMO,100,70,40,105,85,N,7,willow,NA
2015-07-15T00:00:00Z,WC,38,WC38,SAGE,100,60,40,130,20,W,4,willow,NA
2015-07-15T00:00:00Z,WC,38,WC38,SAGE,100,40,20,115,100,E,1,willow,NA
2015-07-15T00:00:00Z,WC,38,WC38,SAMO,100,45,45,110,70,MACRO,0,willow,NA
2015-07-15T00:00:00Z,WC,38,WC38,SAMO,100,10,10,100,25,W,1,willow,NA
2015-07-15T00:00:00Z,WC,38,WC38,SAMO,100,50,15,105,40,S,6,willow,NA
2015-07-15T00:00:00Z,WC,38,WC38,SAMO,100,10,10,125,115,S,1,willow,NA
2015-07-15T00:00:00Z,WC,38,WC38,SAMO,100,80,60,125,75,MACRO,0,willow,NA
2015-07-15T00:00:00Z,WC,38,WC38,SAMO,100,70,30,115,60,MACRO,0,willow,NA
2015-07-15T00:00:00Z,WC,55,WC55,SALU,100,12,5,25,15,Macro,0,willow,Not sure of this species?
2015-07-15T00:00:00Z,WC,55,WC55,SAMO,100,45,37,70,70,Macro,0,willow,NA
2015-07-15T00:00:00Z,WC,55,WC55,SAMO,100,34,28,60,60,Macro,0,willow,NA
2015-07-15T00:00:00Z,WC,56,WC56,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA
