SITE_TYPE,SITE_NUMBER,SITE_ID,LOCATION,DATE,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,BURNED,BURN_YEAR,BURN_SEVERITY,COMMENTS
WC,35,WC35,Moraine_Park,2017-07-07T00:00:00Z,N,no_willow,dry_meadow,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present
WC,37,WC37,Moraine_Park,2017-07-06T00:00:00Z,Y,short_young,dry_meadow,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present
WC,38,WC38,Moraine_Park,2017-07-06T00:00:00Z,Y,short_young,dry_meadow,Phleum_pratense,NA,none,Y,2012,Completely,N_cap_missing
WC,55,WC55,Moraine_Park,2017-07-05T00:00:00Z,N,short_old,dry_meadow,Thermopsis_divaricarpa,Phleum_pratense,none,Y,2012,Moderately_to_Completely,All_pins_present
WC,56,WC56,Moraine_Park,2017-07-05T00:00:00Z,N,sapling,dry_meadow,Carex_spp.,Bromus_inermis,none,Y,2012,Completely,All_pins_present
WC,57,WC57,Moraine_Park,2017-07-06T00:00:00Z,N,short_old,riparian,Bromus_inermis,NA,none,Y,2012,Moderately_to_Completely,All_pins_present
WC,62,WC62,Moraine_Park,2017-07-14T00:00:00Z,N,tall,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,All_pins_present._Moose_sign_present
WC,64,WC64,Moraine_Park,2017-07-28T00:00:00Z,Y,short_young,riparian,Bromus_inermis,Carex_spp.,none,N,NA,Not_Burned,All_pins_present
WC,65,WC65,Moraine_Park,2017-07-13T00:00:00Z,Y,short_young,riparian,Bromus_inermis,Phleum_pratense,none,N,NA,Not_Burned,All_pins_present
WC,66,WC66,Moraine_Park,2017-07-13T00:00:00Z,Y,intermediate,riparian,Bromus_inermis,Phleum_pratense,none,N,NA,Not_Burned,All_pins_present
WC,67,WC67,Moraine_Park,2017-07-13T00:00:00Z,Y,intermediate,riparian,Bromus_inermis,Carex_spp.,none,N,NA,Not_Burned,All_pins_present
WC,68,WC68,Moraine_Park,2017-07-06T00:00:00Z,N,short_young,riparian,Bromus_inermis,Fragaria_virginiana,none,N,NA,Not_Burned,All_pins_present._Moose_sign_present
WC,69,WC69,Moraine_Park,2017-07-07T00:00:00Z,N,intermediate,riparian,Bromus_inermis,Juncus_spp.,none,N,NA,Not_Burned,All_pins_present._Moose_sign_present
WC,70,WC70,Moraine_Park,2017-07-13T00:00:00Z,N,tall,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WC,71,WC71,Moraine_Park,2017-07-12T00:00:00Z,N,intermediate,riparian,Juncus_spp.,NA,none,N,NA,Not_Burned,W_pin_missing._Moose_sign_present_
WC,72,WC72,Moraine_Park,2017-07-14T00:00:00Z,N,tall,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WC,74,WC74,Moraine_Park,2017-07-14T00:00:00Z,N,short_old,dry_meadow,Phleum_pratense,NA,none,N,NA,Not_Burned,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WC,76,WC76,Moraine_Park,2017-06-30T00:00:00Z,Y,short_young,riparian,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present._Willow_restoration_in_plot
WC,79,WC79,Moraine_Park,2017-07-05T00:00:00Z,Y,short_young,riparian,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present
WC,80,WC80,Moraine_Park,2017-07-05T00:00:00Z,N,sapling,wet_meadow,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present
WC,81,WC81,Moraine_Park,2017-06-30T00:00:00Z,N,no_willow,dry_meadow,Poa_pratense,NA,none,Y,2012,Completely,All_pins_present
WC,82,WC82,Moraine_Park,2017-06-30T00:00:00Z,N,short_old,wet_meadow,Bromus_inermis,Juncus_spp.,none,Y,2012,Completely,All_pins_present
WC,83,WC83,Moraine_Park,2017-06-30T00:00:00Z,N,short_old,riparian,Bromus_inermis,NA,none,Y,2012,Completely,N_cap_missing._Moose_sign_present
WC,86,WC86,Moraine_Park,2017-07-05T00:00:00Z,Y,intermediate,dry_meadow,Bromus_inermis,Carex_spp.,none,Y,2012,Moderately_to_Completely,All_pins_present
WK,1,WK1,KV,2017-07-25T00:00:00Z,Y,short_old,riparian,Bromus_inermis,Juncus_spp.,none,NA,NA,NA,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WK,2,WK2,KV,2017-07-25T00:00:00Z,Y,short_old,dry_meadow,Carex_spp.,NA,none,NA,NA,NA,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WK,4,WK4,KV,2017-07-21T00:00:00Z,N,short_old,dry_meadow,Bromus_inermis,NA,none,NA,NA,NA,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WK,5,WK5,KV,2017-07-25T00:00:00Z,Y,short_old,riparian,Carex_spp.,Bromus_inermis,none,NA,NA,NA,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WK,6,WK6,KV,2017-07-25T00:00:00Z,N,short_old,riparian,Bromus_inermis,NA,none,NA,NA,NA,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WK,7,WK7,KV,2017-07-21T00:00:00Z,N,short_old,dry_meadow,Bromus_inermis,NA,none,NA,NA,NA,All_pins_present._Moose_sign_present._Old_beaver_cuttings
WK,8,WK8,KV,2017-07-21T00:00:00Z,N,short_old,dry_meadow,Carex_spp.,NA,none,NA,NA,NA,All_pins_present._Moose_sign_present._Old_beaver_cuttings
