DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,INTERCEPT_LENGTH_M,MAX_HEIGHT_CM,BROWSED,GENUS
2013-06-26T00:00:00Z,WC,22,WC22,SAMO,0.7,145,Y,willow
2013-06-27T00:00:00Z,WC,23,WC23,DAFR,0.5,65,N,nonwillow
2013-06-27T00:00:00Z,WC,23,WC23,DAFR,0.4,55,N,nonwillow
2013-06-27T00:00:00Z,WC,23,WC23,DAFR,0.5,50,N,nonwillow
2013-06-27T00:00:00Z,WC,23,WC23,SAGE,0.3,40,Y,willow
2013-06-27T00:00:00Z,WC,23,WC23,SAMO,0.3,45,Y,willow
2013-06-27T00:00:00Z,WC,23,WC23,SAMO,0.3,40,Y,willow
2013-07-16T00:00:00Z,WC,24,WC24,DAFR,0.35,30,N,nonwillow
2013-07-16T00:00:00Z,WC,24,WC24,SAPL,0.65,50,N,willow
2013-07-16T00:00:00Z,WC,24,WC24,SAPL,0.35,35,N,willow
2013-07-16T00:00:00Z,WC,24,WC24,SAPL,0.35,25,N,willow
2013-07-16T00:00:00Z,WC,25,WC25,SAMO,0.15,50,N,willow
2013-07-16T00:00:00Z,WC,26,WC26,DAFR,0.1,15,N,nonwillow
2013-07-16T00:00:00Z,WC,26,WC26,DAFR,0.05,20,N,nonwillow
2013-07-16T00:00:00Z,WC,26,WC26,DAFR,0.15,25,N,nonwillow
2013-07-16T00:00:00Z,WC,26,WC26,DAFR,0.1,30,N,nonwillow
2013-07-16T00:00:00Z,WC,26,WC26,SAPL,0.05,45,N,willow
2013-07-16T00:00:00Z,WC,27,WC27,NONE,NA,NA,NA,NA
2013-07-16T00:00:00Z,WC,28,WC28,DAFR,0.2,25,N,nonwillow
2013-07-16T00:00:00Z,WC,28,WC28,DAFR,0.05,30,N,nonwillow
2013-07-16T00:00:00Z,WC,28,WC28,DAFR,0.3,35,N,nonwillow
2013-08-01T00:00:00Z,WC,29,WC29,NONE,NA,NA,NA,NA
2013-08-06T00:00:00Z,WC,30,WC30,BEOC,0.1,45,N,nonwillow
2013-08-06T00:00:00Z,WC,30,WC30,DAFR,0.3,55,N,nonwillow
2013-08-06T00:00:00Z,WC,30,WC30,DAFR,0.4,55,N,nonwillow
2013-08-06T00:00:00Z,WC,30,WC30,SAMO,0.1,50,N,willow
2013-08-06T00:00:00Z,WC,30,WC30,SAMO,0.5,40,N,willow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.3,35,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.35,45,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,1.05,45,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.25,20,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.2,35,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.2,45,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.3,60,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.3,45,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.8,50,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.25,30,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,SAMO,0.05,65,Y,willow
2013-07-16T00:00:00Z,WC,32,WC32,DAFR,0.2,45,N,nonwillow
2013-08-06T00:00:00Z,WC,33,WC33,ALIN,2.5,640,N,nonwillow
2013-08-06T00:00:00Z,WC,33,WC33,BEOC,1.2,210,N,nonwillow
2013-08-06T00:00:00Z,WC,33,WC33,RUDE,0.3,50,N,nonwillow
2013-08-06T00:00:00Z,WC,33,WC33,SADR,0.3,150,Y,willow
2013-08-06T00:00:00Z,WC,33,WC33,SADR,0.3,125,Y,willow
2013-07-16T00:00:00Z,WC,34,WC34,NONE,NA,NA,NA,NA
2013-08-08T00:00:00Z,WC,35,WC35,DAFR,0.1,15,N,nonwillow
2013-08-08T00:00:00Z,WC,35,WC35,DAFR,0.2,30,N,nonwillow
2013-06-25T00:00:00Z,WC,36,WC36,NONE,NA,NA,NA,NA
2013-06-17T00:00:00Z,WC,37,WC37,DAFR,0.1,40,N,nonwillow
2013-06-17T00:00:00Z,WC,37,WC37,DAFR,0.2,35,N,nonwillow
2013-06-17T00:00:00Z,WC,37,WC37,DAFR,0.15,35,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.1,30,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.2,25,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.15,40,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.2,30,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.15,35,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.05,35,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,SAMO,0.1,30,N,willow
2013-06-17T00:00:00Z,WC,38,WC38,SAMO,0.25,55,Y,willow
2013-07-16T00:00:00Z,WC,39,WC39,BEGL,0.1,60,N,nonwillow
2013-07-16T00:00:00Z,WC,39,WC39,SAMO,1.7,320,Y,willow
