DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,INTERCEPT_LENGTH_M,MAX_HEIGHT_CM,BROWSED,GENUS
2017-07-05T00:00:00Z,WC,35,WC35,DAFR,0.5,50,N,nonwillow
2017-07-05T00:00:00Z,WC,35,WC35,DAFR,0.1,45,Y,nonwillow
2017-07-05T00:00:00Z,WC,35,WC35,DAFR,0.2,40,Y,nonwillow
2017-07-05T00:00:00Z,WC,35,WC35,DAFR,0.2,25,Y,nonwillow
2017-07-05T00:00:00Z,WC,35,WC35,DAFR,0.1,35,Y,nonwillow
2017-07-05T00:00:00Z,WC,35,WC35,DAFR,0.2,30,N,nonwillow
2017-07-05T00:00:00Z,WC,35,WC35,DAFR,0.1,25,N,nonwillow
2017-07-05T00:00:00Z,WC,35,WC35,DAFR,0.1,25,N,nonwillow
2017-07-06T00:00:00Z,WC,37,WC37,DAFR,0.1,15,N,nonwillow
2017-07-06T00:00:00Z,WC,37,WC37,DAFR,0.2,60,N,nonwillow
2017-07-06T00:00:00Z,WC,37,WC37,DAFR,0.1,60,N,nonwillow
2017-07-06T00:00:00Z,WC,37,WC37,DAFR,0.8,80,N,nonwillow
2017-07-06T00:00:00Z,WC,37,WC37,DAFR,0.1,70,N,nonwillow
2017-07-06T00:00:00Z,WC,37,WC37,DAFR,0.1,75,N,nonwillow
2017-07-06T00:00:00Z,WC,37,WC37,SABE,0.5,150,Y,willow
2017-07-06T00:00:00Z,WC,37,WC37,SAMO,1.2,145,Y,willow
2017-07-06T00:00:00Z,WC,38,WC38,BEOC,0.9,135,Y,nonwillow
2017-07-06T00:00:00Z,WC,38,WC38,BEOC,0.4,260,Y,nonwillow
2017-07-06T00:00:00Z,WC,38,WC38,DAFR,0.3,50,N,nonwillow
2017-07-06T00:00:00Z,WC,38,WC38,DAFR,0.3,60,N,nonwillow
2017-07-06T00:00:00Z,WC,38,WC38,DAFR,0.7,65,N,nonwillow
2017-07-06T00:00:00Z,WC,38,WC38,DAFR,0.5,60,N,nonwillow
2017-07-06T00:00:00Z,WC,38,WC38,DAFR,0.3,90,Y,nonwillow
2017-07-06T00:00:00Z,WC,38,WC38,LOIN,0.7,75,N,nonwillow
2017-07-06T00:00:00Z,WC,38,WC38,SABE,0.5,90,Y,willow
2017-07-06T00:00:00Z,WC,38,WC38,SABE,0.9,100,Y,willow
2017-07-06T00:00:00Z,WC,38,WC38,SABE,1,150,N,willow
2017-07-05T00:00:00Z,WC,55,WC55,BEOC,0.1,20,Y,nonwillow
2017-07-05T00:00:00Z,WC,55,WC55,DAFR,0.5,50,N,nonwillow
2017-07-05T00:00:00Z,WC,55,WC55,DAFR,0.1,20,N,nonwillow
2017-07-05T00:00:00Z,WC,55,WC55,DAFR,0.1,10,N,nonwillow
2017-07-05T00:00:00Z,WC,55,WC55,DAFR,2.5,40,Y,nonwillow
2017-07-05T00:00:00Z,WC,55,WC55,DAFR,0.1,35,N,nonwillow
2017-07-05T00:00:00Z,WC,56,WC56,DAFR,0.5,65,Y,nonwillow
2017-07-06T00:00:00Z,WC,57,WC57,DAFR,0.1,40,Y,nonwillow
2017-07-06T00:00:00Z,WC,57,WC57,DAFR,0.1,25,N,nonwillow
2017-07-06T00:00:00Z,WC,57,WC57,DAFR,0.1,35,Y,nonwillow
2017-07-14T00:00:00Z,WC,62,WC62,ROWO,0.4,90,N,nonwillow
2017-07-14T00:00:00Z,WC,62,WC62,ROWO,0.2,50,Y,nonwillow
2017-07-14T00:00:00Z,WC,62,WC62,ROWO,0.1,40,N,nonwillow
2017-07-14T00:00:00Z,WC,62,WC62,ROWO,0.1,50,Y,nonwillow
2017-07-14T00:00:00Z,WC,62,WC62,ROWO,0.3,45,Y,nonwillow
2017-07-14T00:00:00Z,WC,62,WC62,ROWO,0.2,40,N,nonwillow
2017-07-14T00:00:00Z,WC,62,WC62,ROWO,0.1,55,Y,nonwillow
2017-07-14T00:00:00Z,WC,62,WC62,SAMO,2.5,335,Y,willow
2017-07-14T00:00:00Z,WC,62,WC62,SAMO,1.9,310,Y,willow
2017-07-14T00:00:00Z,WC,64,WC64,DAFR,0.2,40,N,nonwillow
2017-07-14T00:00:00Z,WC,64,WC64,DAFR,0.1,20,N,nonwillow
2017-07-14T00:00:00Z,WC,64,WC64,SAGE,3.4,200,N,willow
2017-07-14T00:00:00Z,WC,64,WC64,SAMO,0.6,110,N,willow
2017-07-14T00:00:00Z,WC,64,WC64,SAMO,1,130,N,willow
2017-07-14T00:00:00Z,WC,64,WC64,SAPL,0.8,165,N,willow
2017-07-13T00:00:00Z,WC,65,WC65,DAFR,0.15,70,N,nonwillow
2017-07-13T00:00:00Z,WC,65,WC65,DAFR,0.3,45,N,nonwillow
2017-07-13T00:00:00Z,WC,65,WC65,SAMO,0.95,95,N,willow
2017-07-13T00:00:00Z,WC,65,WC65,SAMO,1,125,Y,willow
2017-07-13T00:00:00Z,WC,65,WC65,SAMO,1.2,60,N,willow
2017-07-13T00:00:00Z,WC,65,WC65,SAPL,0.65,75,N,willow
2017-07-13T00:00:00Z,WC,65,WC65,SAPL,0.25,160,N,willow
2017-07-13T00:00:00Z,WC,66,WC66,DAFR,0.2,50,N,nonwillow
2017-07-13T00:00:00Z,WC,66,WC66,SAMO,2.45,245,N,willow
2017-07-13T00:00:00Z,WC,66,WC66,SAPL,1.3,210,N,willow
2017-07-13T00:00:00Z,WC,67,WC67,DAFR,0.1,25,N,nonwillow
2017-07-13T00:00:00Z,WC,67,WC67,SAPL,1.3,205,N,willow
2017-07-06T00:00:00Z,WC,68,WC68,ROWO,0.05,35,Y,nonwillow
2017-07-06T00:00:00Z,WC,68,WC68,ROWO,0.3,35,N,nonwillow
2017-07-06T00:00:00Z,WC,68,WC68,ROWO,0.05,25,Y,nonwillow
2017-07-06T00:00:00Z,WC,68,WC68,ROWO,0.1,15,Y,nonwillow
2017-07-06T00:00:00Z,WC,68,WC68,ROWO,0.05,10,Y,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,ROWO,0.15,65,N,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,ROWO,0.15,75,N,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,ROWO,0.15,80,Y,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,ROWO,0.1,45,Y,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,ROWO,0.2,50,Y,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,ROWO,0.15,40,Y,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,ROWO,0.15,65,Y,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,ROWO,0.3,65,Y,nonwillow
2017-07-07T00:00:00Z,WC,69,WC69,SAMO,3.25,300,Y,willow
2017-07-07T00:00:00Z,WC,69,WC69,SAMO,2.45,215,Y,willow
2017-07-13T00:00:00Z,WC,70,WC70,RIIN,0.05,40,N,nonwillow
2017-07-13T00:00:00Z,WC,70,WC70,ROWO,0.2,75,N,nonwillow
2017-07-13T00:00:00Z,WC,70,WC70,ROWO,0.15,50,N,nonwillow
2017-07-13T00:00:00Z,WC,70,WC70,ROWO,0.15,45,N,nonwillow
2017-07-13T00:00:00Z,WC,70,WC70,ROWO,0.2,45,Y,nonwillow
2017-07-13T00:00:00Z,WC,70,WC70,ROWO,0.05,55,Y,nonwillow
2017-07-13T00:00:00Z,WC,70,WC70,ROWO,0.05,55,Y,nonwillow
2017-07-13T00:00:00Z,WC,70,WC70,ROWO,0.05,30,N,nonwillow
2017-07-12T00:00:00Z,WC,71,WC71,BEGL,0.3,90,Y,nonwillow
2017-07-12T00:00:00Z,WC,71,WC71,DAFR,0.9,115,Y,nonwillow
2017-07-12T00:00:00Z,WC,71,WC71,DAFR,0.5,70,Y,nonwillow
2017-07-12T00:00:00Z,WC,71,WC71,DAFR,0.35,95,Y,nonwillow
2017-07-12T00:00:00Z,WC,71,WC71,SAMO,0.7,135,Y,willow
2017-07-12T00:00:00Z,WC,71,WC71,SAMO,0.5,145,Y,willow
2017-07-12T00:00:00Z,WC,71,WC71,SAPL,0.2,105,Y,willow
2017-07-12T00:00:00Z,WC,71,WC71,SAPL,0.3,130,Y,willow
2017-07-12T00:00:00Z,WC,71,WC71,SAPL,0.1,65,N,willow
2017-07-12T00:00:00Z,WC,71,WC71,SAPL,0.45,80,Y,willow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.15,60,Y,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.05,35,N,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.05,10,N,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.2,45,Y,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.05,45,Y,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.1,40,Y,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.5,1,N,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.25,110,Y,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.1,50,N,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,ROWO,0.05,15,N,nonwillow
2017-07-14T00:00:00Z,WC,72,WC72,SAGE,2,360,Y,willow
2017-07-14T00:00:00Z,WC,72,WC72,SAMO,0.3,135,Y,willow
2017-07-14T00:00:00Z,WC,72,WC72,SAMO,0.95,200,Y,willow
2017-07-14T00:00:00Z,WC,74,WC74,DAFR,0.75,115,Y,nonwillow
2017-07-14T00:00:00Z,WC,74,WC74,ROWO,0.05,5,N,nonwillow
2017-07-14T00:00:00Z,WC,74,WC74,ROWO,0.05,10,N,nonwillow
2017-07-14T00:00:00Z,WC,74,WC74,SABE,1,400,Y,willow
2017-06-30T00:00:00Z,WC,76,WC76,SAMO,0.12,95,N,willow
2017-07-05T00:00:00Z,WC,79,WC79,LOIN,0.4,60,Y,nonwillow
2017-07-05T00:00:00Z,WC,79,WC79,LOIN,0.6,110,N,nonwillow
2017-07-05T00:00:00Z,WC,79,WC79,SADR,0.1,135,Y,willow
2017-07-05T00:00:00Z,WC,79,WC79,SADR,1.1,140,Y,willow
2017-07-05T00:00:00Z,WC,80,WC80,NONE,NA,NA,NA,NA
2018-06-30T00:00:00Z,WC,81,WC81,NONE,NA,NA,NA,NA
2018-06-30T00:00:00Z,WC,82,WC82,SAMO,0.05,35,Y,willow
2018-06-30T00:00:00Z,WC,82,WC82,SAMO,0.06,25,Y,willow
2017-06-30T00:00:00Z,WC,83,WC83,ALIN,0.98,182,N,nonwillow
2017-06-30T00:00:00Z,WC,83,WC83,ROWO,0.06,10,N,nonwillow
2017-07-05T00:00:00Z,WC,86,WC86,DAFR,0.15,60,N,nonwillow
2017-07-05T00:00:00Z,WC,86,WC86,DAFR,0.05,60,N,nonwillow
2017-07-05T00:00:00Z,WC,86,WC86,DAFR,0.2,150,N,nonwillow
2017-07-05T00:00:00Z,WC,86,WC86,DAFR,0.3,55,N,nonwillow
2017-07-05T00:00:00Z,WC,86,WC86,SAPL,3.45,200,N,willow
2017-07-25T00:00:00Z,WK,1,WK1,SADR,0.3,85,Y,willow
2017-07-25T00:00:00Z,WK,1,WK1,SADR,1.25,120,Y,willow
2017-07-25T00:00:00Z,WK,1,WK1,SAMO,0.5,100,Y,willow
2017-07-25T00:00:00Z,WK,1,WK1,SAMO,2,140,Y,willow
2017-07-25T00:00:00Z,WK,1,WK1,SAMO,0.3,75,Y,willow
2017-07-25T00:00:00Z,WK,1,WK1,SAMO,0.5,110,Y,willow
2017-07-25T00:00:00Z,WK,1,WK1,SAMO,0.4,120,Y,willow
2017-07-25T00:00:00Z,WK,1,WK1,SAPL,0.1,130,Y,willow
2017-07-25T00:00:00Z,WK,1,WK1,SAWO,0.1,50,Y,willow
2017-07-25T00:00:00Z,WK,2,WK2,NONE,NA,NA,NA,NA
2017-07-21T00:00:00Z,WK,4,WK4,DAFR,0.05,15,N,nonwillow
2017-07-21T00:00:00Z,WK,4,WK4,DAFR,0.05,80,Y,nonwillow
2017-07-21T00:00:00Z,WK,4,WK4,DAFR,0.05,25,N,nonwillow
2017-07-21T00:00:00Z,WK,4,WK4,DAFR,0.3,60,Y,nonwillow
2017-07-21T00:00:00Z,WK,4,WK4,SAPL,0.4,60,Y,willow
2017-07-21T00:00:00Z,WK,4,WK4,SAPL,0.2,60,Y,willow
2017-07-21T00:00:00Z,WK,4,WK4,SAPL,0.2,25,Y,willow
2017-07-21T00:00:00Z,WK,4,WK4,SAPL,0.4,65,Y,willow
2017-07-21T00:00:00Z,WK,4,WK4,SAPL,0.3,40,Y,willow
2017-07-21T00:00:00Z,WK,4,WK4,SAPL,0.05,25,Y,willow
2017-07-25T00:00:00Z,WK,5,WK5,SADR,0.05,55,N,willow
2017-07-25T00:00:00Z,WK,5,WK5,SADR,0.15,45,Y,willow
2017-07-25T00:00:00Z,WK,5,WK5,SAMO,0.05,65,Y,willow
2017-07-25T00:00:00Z,WK,5,WK5,SAPL,0.65,90,Y,willow
2017-07-25T00:00:00Z,WK,5,WK5,SAPL,1,105,Y,willow
2017-07-25T00:00:00Z,WK,6,WK6,ALIN,1,255,Y,nonwillow
2017-07-21T00:00:00Z,WK,7,WK7,NONE,NA,NA,NA,NA
2017-07-21T00:00:00Z,WK,8,WK8,BEGL,0.2,35,Y,nonwillow
2017-07-21T00:00:00Z,WK,8,WK8,BEGL,0.15,55,Y,nonwillow
2017-07-21T00:00:00Z,WK,8,WK8,SADR,0.15,30,Y,willow
2017-07-21T00:00:00Z,WK,8,WK8,SAPL,0.1,35,Y,willow
2017-07-21T00:00:00Z,WK,8,WK8,SAPL,0.5,30,Y,willow
