DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,INTERCEPT_LENGTH_M,MAX_HEIGHT_CM,BROWSED,GENUS
2018-06-19T00:00:00Z,WC,1,WC1,DAFR,0.1,55,N,nonwillow
2018-06-19T00:00:00Z,WC,1,WC1,SAGE,1.4,95,N,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,0.9,120,N,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,0.1,30,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,0.6,190,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,1.1,235,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,0.2,240,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,1.7,260,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,0.7,225,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,0.6,210,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,0.1,180,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,1,240,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,0.4,110,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,0.1,175,N,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,0.1,135,N,willow
2018-06-20T00:00:00Z,WC,3,WC3,BEGL,1.6,165,N,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,DAFR,0.1,120,N,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,DAFR,0.4,80,N,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,SAGE,1.2,195,N,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAGE,0.6,200,N,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAGE,2.2,260,N,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,0.1,150,N,willow
2018-06-20T00:00:00Z,WC,4,WC4,SAMO,0.9,235,N,willow
2018-06-20T00:00:00Z,WC,4,WC4,SAMO,2.7,270,N,willow
2018-06-20T00:00:00Z,WC,4,WC4,SAPL,1.6,190,N,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,0.7,145,N,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,1.7,220,N,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,0.8,90,N,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,1.6,255,N,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,0.1,265,N,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,0.1,255,N,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,0.3,NA,NA,willow
2018-07-19T00:00:00Z,WC,10,WC10,SABE,1.2,250,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SABE,1,250,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAGE,1.1,270,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,1.1,210,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,0.8,40,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,0.6,195,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAMO,2.3,260,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,0.3,180,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,1.3,290,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,0.2,110,N,willow
2018-07-19T00:00:00Z,WC,10,WC10,SAPL,0.2,65,N,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,1,140,Y,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,0.6,250,Y,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,0.4,65,Y,willow
2018-06-14T00:00:00Z,WC,12,WC12,SAGE,1.3,230,Y,willow
2018-06-13T00:00:00Z,WC,13,WC13,BEOC,0.8,340,Y,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,DAFR,0.7,75,Y,nonwillow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,0.8,120,Y,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAMO,0.5,195,Y,willow
2018-06-13T00:00:00Z,WC,13,WC13,SAPL,1.4,115,Y,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,0.1,40,N,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,0.2,50,N,willow
2018-06-19T00:00:00Z,WC,14,WC14,SAMO,0.5,60,N,willow
2018-06-14T00:00:00Z,WC,15,WC15,SABE,1.8,170,Y,willow
2018-06-19T00:00:00Z,WC,16,WC16,DAFR,0.1,55,N,nonwillow
2018-06-19T00:00:00Z,WC,16,WC16,SAMO,0.1,60,N,willow
2018-06-19T00:00:00Z,WC,16,WC16,SAMO,0.1,45,N,willow
2018-06-19T00:00:00Z,WC,16,WC16,SAPL,1.1,145,N,willow
2018-06-19T00:00:00Z,WC,16,WC16,SAPL,2,180,N,willow
2018-06-19T00:00:00Z,WC,16,WC16,SAPL,0.3,90,N,willow
2018-06-19T00:00:00Z,WC,16,WC16,SAPL,0.1,65,N,willow
2018-06-15T00:00:00Z,WC,17,WC17,ALIN,1,360,N,nonwillow
2018-06-15T00:00:00Z,WC,17,WC17,ALIN,0.1,25,N,nonwillow
2018-06-15T00:00:00Z,WC,17,WC17,SAGE,0.3,45,N,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAGE,0.1,50,N,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAGE,0.1,45,N,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAGE,0.1,35,N,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAGE,0.1,40,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAGE,0.3,55,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAGE,0.2,50,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAMO,0.3,100,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAMO,0.1,60,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAMO,0.3,80,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAMO,0.1,50,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAMO,0.1,45,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAMO,0.2,70,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAPL,0.1,75,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAPL,0.2,50,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAPL,0.1,60,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAPL,0.1,20,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAPL,0.1,35,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAPL,0.1,45,Y,willow
2018-06-15T00:00:00Z,WC,17,WC17,SAPL,0.1,40,Y,willow
2018-06-15T00:00:00Z,WC,18,WC18,NONE,NA,NA,NA,NA
2018-06-07T00:00:00Z,WC,19,WC19,SABE,1.2,380,N,willow
2018-06-07T00:00:00Z,WC,19,WC19,SAMO,0.3,210,N,willow
2018-06-07T00:00:00Z,WC,19,WC19,SAMO,1.3,390,NA,willow
2018-06-20T00:00:00Z,WC,20,WC20,SAMO,0.4,55,Y,willow
2018-06-20T00:00:00Z,WC,20,WC20,SAMO,0.2,85,Y,willow
2018-06-20T00:00:00Z,WC,20,WC20,SAMO,0.1,60,Y,willow
2018-06-20T00:00:00Z,WC,20,WC20,SAMO,0.8,90,Y,willow
2018-06-20T00:00:00Z,WC,20,WC20,SAMO,0.1,70,Y,willow
2018-06-20T00:00:00Z,WC,20,WC20,SAPL,0.1,80,Y,willow
2018-06-20T00:00:00Z,WC,21,WC21,DAFR,0.3,75,Y,nonwillow
2018-06-20T00:00:00Z,WC,21,WC21,SAGE,1.4,305,Y,willow
2018-06-20T00:00:00Z,WC,21,WC21,SAMO,0.1,150,Y,willow
2018-06-20T00:00:00Z,WC,21,WC21,SAMO,0.3,135,Y,willow
2018-06-20T00:00:00Z,WC,21,WC21,SAMO,0.6,110,Y,willow
2018-06-20T00:00:00Z,WC,21,WC21,SAMO,0.1,90,Y,willow
2018-06-20T00:00:00Z,WC,21,WC21,SAMO,0.1,60,Y,willow
2018-06-20T00:00:00Z,WC,22,WC22,ALIN,1,310,N,nonwillow
2018-06-20T00:00:00Z,WC,22,WC22,ALIN,0.8,400,N,nonwillow
2018-06-20T00:00:00Z,WC,22,WC22,SAMO,2.8,380,Y,willow
2018-06-20T00:00:00Z,WC,22,WC22,SAMO,0.3,115,Y,willow
2018-06-20T00:00:00Z,WC,23,WC23,DAFR,0.1,70,N,nonwillow
2018-06-20T00:00:00Z,WC,23,WC23,DAFR,0.3,55,N,nonwillow
2018-06-20T00:00:00Z,WC,23,WC23,DAFR,0.1,40,N,nonwillow
2018-06-20T00:00:00Z,WC,23,WC23,DAFR,0.1,50,N,nonwillow
2018-06-20T00:00:00Z,WC,23,WC23,DAFR,0.6,50,N,nonwillow
2018-06-20T00:00:00Z,WC,23,WC23,SADR,0.5,50,Y,willow
2018-06-20T00:00:00Z,WC,23,WC23,SAMO,0.1,55,Y,willow
2018-06-20T00:00:00Z,WC,23,WC23,SAMO,0.3,55,Y,willow
2018-06-20T00:00:00Z,WC,23,WC23,SAMO,0.2,45,Y,willow
2018-07-05T00:00:00Z,WC,24,WC24,SABE,0.1,75,N,willow
2018-07-05T00:00:00Z,WC,24,WC24,SAMO,2.2,115,N,willow
2018-07-05T00:00:00Z,WC,24,WC24,SAPL,1.4,145,N,willow
2018-07-05T00:00:00Z,WC,25,WC25,DAFR,0.2,40,N,nonwillow
2018-07-05T00:00:00Z,WC,25,WC25,DAFR,0.2,45,Y,nonwillow
2018-07-05T00:00:00Z,WC,25,WC25,DAFR,0.1,35,N,nonwillow
2018-07-05T00:00:00Z,WC,25,WC25,SAGE,0.6,110,N,willow
2018-07-05T00:00:00Z,WC,25,WC25,SAGE,0.4,95,N,willow
2018-07-05T00:00:00Z,WC,26,WC26,DAFR,0.1,60,N,nonwillow
2018-07-05T00:00:00Z,WC,26,WC26,DAFR,0.4,45,N,nonwillow
2018-07-05T00:00:00Z,WC,26,WC26,DAFR,0.1,20,N,nonwillow
